rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
20,top-100-stars,javascript-algorithms,195777,31088,JavaScript,https://github.com/trekhleb/javascript-algorithms,trekhleb,138,2026-02-18T09:20:06Z,📝 Algorithms and data structures implemented in JavaScript with explanations and links to further readings
21,top-100-stars,tensorflow,194488,75255,C++,https://github.com/tensorflow/tensorflow,tensorflow,952,2026-04-06T01:04:51Z,An Open Source Machine Learning Framework for Everyone
22,top-100-stars,ohmyzsh,185937,26316,Shell,https://github.com/ohmyzsh/ohmyzsh,ohmyzsh,146,2026-04-05T17:28:13Z,"🙃   A delightful community-driven (with 2,400+ contributors) framework for managing your zsh configuration. Includes 300+ optional plugins (rails, git, macOS, hub, docker, homebrew, node, php, python, etc), 140+ themes to spice up your morning, and an auto-update tool that makes it easy to keep up with the latest updates from the community."
23,top-100-stars,You-Dont-Know-JS,184520,33603,,https://github.com/getify/You-Dont-Know-JS,getify,0,2026-02-15T04:36:44Z,A book series (2 published editions) on the JS language.
24,top-100-stars,CS-Notes,184080,51083,,https://github.com/CyC2018/CS-Notes,CyC2018,129,2024-08-21T09:40:10Z,:books: 技术面试必备基础知识、Leetcode、计算机操作系统、计算机网络、系统设计
25,top-100-stars,vscode,183463,39040,TypeScript,https://github.com/microsoft/vscode,microsoft,14538,2026-04-06T02:44:24Z,Visual Studio Code
26,top-100-stars,AutoGPT,183163,46209,Python,https://github.com/Significant-Gravitas/AutoGPT,Significant-Gravitas,238,2026-04-06T00:28:50Z,"AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters."
27,top-100-stars,n8n,182615,56506,TypeScript,https://github.com/n8n-io/n8n,n8n-io,388,2026-04-06T03:49:26Z,"Fair-code workflow automation platform with native AI capabilities. Combine visual building with custom code, self-host or cloud, 400+ integrations."
28,top-100-stars,Python-100-Days,180813,55582,Jupyter Notebook,https://github.com/jackfrued/Python-100-Days,jackfrued,527,2026-02-25T03:39:28Z,Python - 100天从新手到大师
29,top-100-stars,flutter,175843,30218,Dart,https://github.com/flutter/flutter,flutter,12208,2026-04-05T17:25:52Z,Flutter makes it easy and fast to build beautiful apps for mobile and beyond
30,top-100-stars,bootstrap,174114,79007,MDX,https://github.com/twbs/bootstrap,twbs,299,2026-04-05T23:33:20Z,"The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web."
31,top-100-stars,gitignore,173318,82695,,https://github.com/github/gitignore,github,0,2026-04-04T00:05:52Z,A collection of useful .gitignore templates
32,top-100-stars,claw-code,171330,103867,Rust,https://github.com/ultraworkers/claw-code,ultraworkers,0,2026-04-06T02:00:34Z,The repo is finally unlocked. enjoy the party! The fastest repo in history to surpass 100K stars ⭐. Join Discord: https://discord.gg/5TUQKqFWd Built in Rust using oh-my-codex.
33,top-100-stars,Microsoft-Activation-Scripts,170916,16438,Batchfile,https://github.com/massgravel/Microsoft-Activation-Scripts,massgravel,3,2026-03-09T07:34:17Z,"Open-source Windows and Office activator featuring HWID, Ohook, TSforge, and Online KMS activation methods, along with advanced troubleshooting."
34,top-100-stars,awesome-go,169172,13111,Go,https://github.com/avelino/awesome-go,avelino,13,2026-04-05T13:49:57Z,"A curated list of awesome Go frameworks, libraries and software"
35,top-100-stars,ollama,167335,15355,Go,https://github.com/ollama/ollama,ollama,2104,2026-04-04T05:10:36Z,"Get up and running with Kimi-K2.5, GLM-5, MiniMax, DeepSeek, gpt-oss, Qwen, Gemma and other models."
36,top-100-stars,stable-diffusion-webui,162148,30221,Python,https://github.com/AUTOMATIC1111/stable-diffusion-webui,AUTOMATIC1111,2406,2026-03-02T07:00:53Z,Stable Diffusion web UI
37,top-100-stars,the-art-of-command-line,160508,14792,,https://github.com/jlevy/the-art-of-command-line,jlevy,126,2024-06-25T18:13:44Z,"Master the command line, in one page"
38,top-100-stars,transformers,158849,32746,Python,https://github.com/huggingface/transformers,huggingface,1081,2026-04-05T18:19:28Z,"🤗 Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models, for both inference and training. "
39,top-100-stars,prompts.chat,157589,20634,HTML,https://github.com/f/prompts.chat,f,9,2026-04-05T04:03:02Z,"f.k.a. Awesome ChatGPT Prompts. Share, discover, and collect prompts from the community. Free and open source — self-host for your organization with complete privacy."
40,top-100-stars,FreeDomain,155904,2657,HTML,https://github.com/DigitalPlatDev/FreeDomain,DigitalPlatDev,0,2026-03-26T05:54:09Z,DigitalPlat FreeDomain: Free Domain For Everyone
41,top-100-stars,yt-dlp,155024,12680,Python,https://github.com/yt-dlp/yt-dlp,yt-dlp,1857,2026-04-05T23:31:01Z,A feature-rich command-line audio/video downloader
42,top-100-stars,JavaGuide,154668,46137,Java,https://github.com/Snailclimb/JavaGuide,Snailclimb,68,2026-04-02T01:05:23Z,Java 面试 & 后端通用面试指南，覆盖计算机基础、数据库、分布式、高并发、系统设计与 AI 应用开发
43,top-100-stars,HelloGitHub,149011,11308,Python,https://github.com/521xueweihan/HelloGitHub,521xueweihan,320,2026-04-01T16:16:13Z,":octocat: 分享 GitHub 上有趣、入门级的开源项目。Share interesting, entry-level open source projects on GitHub."
44,top-100-stars,javascript,148103,26734,JavaScript,https://github.com/airbnb/javascript,airbnb,102,2026-02-24T14:05:16Z,JavaScript Style Guide
45,top-100-stars,langflow,146596,8707,Python,https://github.com/langflow-ai/langflow,langflow-ai,337,2026-04-06T02:36:29Z,Langflow is a powerful tool for building and deploying AI-powered agents and workflows.
46,top-100-stars,everything-claude-code,140802,21243,JavaScript,https://github.com/affaan-m/everything-claude-code,affaan-m,69,2026-04-06T03:25:13Z,"The agent harness performance optimization system. Skills, instincts, memory, security, and research-first development for Claude Code, Codex, Opencode, Cursor and beyond."
47,top-100-stars,youtube-dl,139982,10609,Python,https://github.com/ytdl-org/youtube-dl,ytdl-org,3629,2026-02-19T16:45:25Z,Command-line program to download videos from YouTube.com and other video sites
48,top-100-stars,next.js,138649,30766,JavaScript,https://github.com/vercel/next.js,vercel,2106,2026-04-06T00:47:25Z,The React Framework
49,top-100-stars,tech-interview-handbook,138565,16492,TypeScript,https://github.com/yangshun/tech-interview-handbook,yangshun,41,2026-04-05T23:58:25Z,Curated coding interview preparation materials for busy software engineers
50,top-100-stars,scrcpy,138035,12858,C,https://github.com/Genymobile/scrcpy,Genymobile,2692,2026-04-05T10:16:49Z,Display and control your Android device
51,top-100-stars,opencode,137822,15153,TypeScript,https://github.com/anomalyco/opencode,anomalyco,4288,2026-04-06T03:53:25Z,The open source coding agent.
52,top-100-stars,superpowers,136348,11467,Shell,https://github.com/obra/superpowers,obra,114,2026-04-02T02:34:37Z,An agentic skills framework & software development methodology that works.
53,top-100-stars,dify,136264,21250,TypeScript,https://github.com/langgenius/dify,langgenius,400,2026-04-06T02:37:15Z,Production-ready platform for agentic workflow development.
54,top-100-stars,system-prompts-and-models-of-ai-tools,134483,33870,,https://github.com/x1xhlol/system-prompts-and-models-of-ai-tools,x1xhlol,90,2026-03-28T16:58:37Z,"FULL Augment Code, Claude Code, Cluely, CodeBuddy, Comet, Cursor, Devin AI, Junie, Kiro, Leap.new, Lovable, Manus, NotionAI, Orchids.app, Perplexity, Poke, Qoder, Replit, Same.dev, Trae, Traycer AI, VSCode Agent, Warp.dev, Windsurf, Xcode, Z.ai Code, Dia & v0. (And other Open Sourced) System Prompts, Internal Tools & AI Models"
55,top-100-stars,go,133296,18964,Go,https://github.com/golang/go,golang,9525,2026-04-04T05:26:15Z,The Go programming language
56,top-100-stars,fucking-algorithm,133200,23658,Markdown,https://github.com/labuladong/fucking-algorithm,labuladong,1,2026-02-28T10:07:31Z,"Crack LeetCode, not only how, but also why. "
57,top-100-stars,langchain,132469,21859,Python,https://github.com/langchain-ai/langchain,langchain-ai,357,2026-04-05T16:01:48Z,The agent engineering platform
58,top-100-stars,PowerToys,131374,7860,C#,https://github.com/microsoft/PowerToys,microsoft,8369,2026-04-05T23:14:56Z,Microsoft PowerToys is a collection of utilities that supercharge productivity and customization on Windows
59,top-100-stars,open-webui,130220,18442,Python,https://github.com/open-webui/open-webui,open-webui,170,2026-04-03T04:00:01Z,"User-friendly AI Interface (Supports Ollama, OpenAI API, ...)"
60,top-100-stars,30-seconds-of-code,127334,12467,JavaScript,https://github.com/Chalarangelo/30-seconds-of-code,Chalarangelo,0,2026-04-04T06:19:48Z,Coding articles to level up your development skills
61,top-100-stars,react-native,125691,25136,C++,https://github.com/facebook/react-native,facebook,752,2026-04-03T22:28:01Z,A framework for building native applications using React
62,top-100-stars,hello-algo,124698,15000,Java,https://github.com/krahets/hello-algo,krahets,7,2026-04-05T16:21:40Z,"《Hello 算法》：动画图解、一键运行的数据结构与算法教程。支持简中、繁中、English、日本語，提供 Python, Java, C++, C, C#, JS, Go, Swift, Rust, Ruby, Kotlin, TS, Dart 等代码实现"
63,top-100-stars,kubernetes,121504,42794,Go,https://github.com/kubernetes/kubernetes,kubernetes,1817,2026-04-02T17:39:09Z,Production-Grade Container Scheduling and Management
64,top-100-stars,electron,120769,17104,C++,https://github.com/electron/electron,electron,729,2026-04-06T00:57:12Z,":electron: Build cross-platform desktop apps with JavaScript, HTML, and CSS"
65,top-100-stars,free-for-dev,120560,12540,HTML,https://github.com/ripienaar/free-for-dev,ripienaar,0,2026-04-03T04:16:35Z,"A list of SaaS, PaaS and IaaS offerings that have free tiers of interest to devops and infradev"
66,top-100-stars,excalidraw,120322,13143,TypeScript,https://github.com/excalidraw/excalidraw,excalidraw,2117,2026-04-03T18:34:25Z,Virtual whiteboard for sketching hand-drawn like diagrams
67,top-100-stars,node,116561,35255,JavaScript,https://github.com/nodejs/node,nodejs,1776,2026-04-05T22:31:14Z,Node.js JavaScript runtime ✨🐢🚀✨
68,top-100-stars,free-programming-books-zh_CN,116537,28297,,https://github.com/justjavac/free-programming-books-zh_CN,justjavac,0,2024-07-15T08:55:20Z,:books: 免费的计算机编程类中文书籍，欢迎投稿
69,top-100-stars,iptv,114255,5867,TypeScript,https://github.com/iptv-org/iptv,iptv-org,297,2026-04-06T00:21:49Z,Collection of publicly available IPTV channels from all over the world
70,top-100-stars,d3,112679,22777,Shell,https://github.com/d3/d3,d3,11,2025-12-02T17:48:19Z,"Bring data to life with SVG, Canvas and HTML. :bar_chart::chart_with_upwards_trend::tada:"
71,top-100-stars,three.js,111780,36320,JavaScript,https://github.com/mrdoob/three.js,mrdoob,404,2026-04-05T20:35:29Z,JavaScript 3D Library.
72,top-100-stars,rust,111729,14778,Rust,https://github.com/rust-lang/rust,rust-lang,11226,2026-04-06T04:01:30Z,Empowering everyone to build reliable and efficient software.
73,top-100-stars,ui,111581,8423,TypeScript,https://github.com/shadcn-ui/ui,shadcn-ui,935,2026-04-04T09:33:45Z,"A set of beautifully-designed, accessible components and a code distribution platform. Works with your favorite frameworks. Open Source. Open Code."
74,top-100-stars,skills,111100,12566,Python,https://github.com/anthropics/skills,anthropics,181,2026-03-25T15:10:49Z,Public repository for Agent Skills
75,top-100-stars,rustdesk,110690,16563,Rust,https://github.com/rustdesk/rustdesk,rustdesk,67,2026-04-04T14:54:13Z,"An open-source remote desktop application designed for self-hosting, as an alternative to TeamViewer."
76,top-100-stars,Awesome-Hacking,109754,10122,,https://github.com/Hack-with-Github/Awesome-Hacking,Hack-with-Github,0,2025-01-18T01:48:02Z,"A collection of various awesome lists for hackers, pentesters and security researchers"
77,top-100-stars,claude-code,109454,18149,Shell,https://github.com/anthropics/claude-code,anthropics,8737,2026-04-04T00:42:02Z,"Claude Code is an agentic coding tool that lives in your terminal, understands your codebase, and helps you code faster by executing routine tasks, explaining complex code, and handling git workflows - all through natural language commands."
78,top-100-stars,axios,109043,11599,JavaScript,https://github.com/axios/axios,axios,179,2026-04-06T01:32:14Z,Promise based HTTP client for the browser and node.js
79,top-100-stars,godot,109002,24878,C++,https://github.com/godotengine/godot,godotengine,13129,2026-04-03T16:54:43Z,Godot Engine – Multi-platform 2D and 3D game engine
80,top-100-stars,generative-ai-for-beginners,108962,58447,Jupyter Notebook,https://github.com/microsoft/generative-ai-for-beginners,microsoft,10,2026-03-29T18:29:14Z,"21 Lessons, Get Started Building with Generative AI "
81,top-100-stars,TypeScript,108423,13321,TypeScript,https://github.com/microsoft/TypeScript,microsoft,4997,2026-04-02T18:40:13Z,TypeScript is a superset of JavaScript that compiles to clean JavaScript output.
82,top-100-stars,clash-verge-rev,107966,7848,TypeScript,https://github.com/clash-verge-rev/clash-verge-rev,clash-verge-rev,218,2026-04-06T01:08:29Z,"A modern GUI client based on Tauri, designed to run in Windows, macOS and Linux for tailored proxy experience"
83,top-100-stars,ComfyUI,107860,12479,Python,https://github.com/Comfy-Org/ComfyUI,Comfy-Org,3559,2026-04-05T23:37:31Z,"The most powerful and modular diffusion model GUI, api and backend with a graph/nodes interface."
84,top-100-stars,GitHub-Chinese-Top-Charts,107248,13525,Java,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts,GrowingGit,182,2024-10-12T06:51:36Z,:cn: GitHub中文排行榜，各语言分设「软件 | 资料」榜单，精准定位中文好项目。各取所需，高效学习。
85,top-100-stars,deno,106469,5993,Rust,https://github.com/denoland/deno,denoland,2112,2026-04-05T16:00:42Z,A modern runtime for JavaScript and TypeScript.
86,top-100-stars,frp,105826,14976,Go,https://github.com/fatedier/frp,fatedier,33,2026-03-29T19:22:35Z,A fast reverse proxy to help you expose a local server behind a NAT or firewall to the internet.
87,top-100-stars,nodebestpractices,105183,10702,Dockerfile,https://github.com/goldbergyoni/nodebestpractices,goldbergyoni,50,2025-04-15T21:52:42Z,:white_check_mark:  The Node.js best practices list (July 2024)
88,top-100-stars,tauri,104987,3494,Rust,https://github.com/tauri-apps/tauri,tauri-apps,1271,2026-04-04T11:08:52Z,"Build smaller, faster, and more secure desktop and mobile applications with a web frontend."
89,top-100-stars,papers-we-love,104925,6323,Shell,https://github.com/papers-we-love/papers-we-love,papers-we-love,2,2026-03-26T09:31:12Z,Papers from the computer science community to read and discuss.
90,top-100-stars,firecrawl,104648,6838,TypeScript,https://github.com/firecrawl/firecrawl,firecrawl,56,2026-04-04T19:15:13Z,🔥 The Web Data API for AI - Power AI agents with clean web data
91,top-100-stars,awesome-llm-apps,104558,15258,Python,https://github.com/Shubhamsaboo/awesome-llm-apps,Shubhamsaboo,1,2026-04-01T07:06:35Z,"Collection of awesome LLM apps with AI Agents and RAG using OpenAI, Anthropic, Gemini and opensource models."
92,top-100-stars,create-react-app,103719,27094,JavaScript,https://github.com/facebook/create-react-app,facebook,1855,2025-02-15T01:32:11Z,Set up a modern web app by running one command.
93,top-100-stars,terminal,102543,9186,C++,https://github.com/microsoft/terminal,microsoft,1657,2026-04-03T23:15:22Z,"The new Windows Terminal and the original Windows console host, all in the same place!"
94,top-100-stars,DeepSeek-V3,102496,16614,Python,https://github.com/deepseek-ai/DeepSeek-V3,deepseek-ai,77,2025-08-28T03:24:37Z,
95,top-100-stars,llama.cpp,101645,16414,C++,https://github.com/ggml-org/llama.cpp,ggml-org,547,2026-04-06T02:52:32Z,LLM inference in C/C++
96,top-100-stars,awesome-mac,101547,7571,Swift,https://github.com/jaywcjlove/awesome-mac,jaywcjlove,140,2026-04-05T08:58:23Z, This project is dedicated to collecting high-quality macOS software and organizing them systematically by different categories for easy search and use.
97,top-100-stars,v2rayN,100842,14469,C#,https://github.com/2dust/v2rayN,2dust,4,2026-04-04T13:42:08Z,"A GUI client for Windows, Linux and macOS, support Xray and sing-box and others"
98,top-100-stars,gemini-cli,100330,12904,TypeScript,https://github.com/google-gemini/gemini-cli,google-gemini,2717,2026-04-06T02:34:09Z,An open-source AI agent that brings the power of Gemini directly into your terminal.
99,top-100-stars,supabase,100304,11987,TypeScript,https://github.com/supabase/supabase,supabase,263,2026-04-06T01:39:05Z,"The Postgres development platform. Supabase gives you a dedicated Postgres database to build your web, mobile, and AI applications."
100,top-100-stars,angular,100106,27144,TypeScript,https://github.com/angular/angular,angular,999,2026-04-04T00:40:10Z,Deliver web apps with confidence 🚀
1,top-100-forks,datasharing,6715,242817,,https://github.com/jtleek/datasharing,jtleek,308,2024-08-07T08:29:32Z,The Leek group guide to data sharing 
2,top-100-forks,Spoon-Knife,13712,156810,HTML,https://github.com/octocat/Spoon-Knife,octocat,2658,2024-08-21T15:25:42Z,This repo is for demonstration purposes only.
3,top-100-forks,ProgrammingAssignment2,885,143759,R,https://github.com/rdpeng/ProgrammingAssignment2,rdpeng,202,2024-08-14T21:14:33Z,Repository for Programming Assignment 2 for R Programming on Coursera
4,top-100-forks,claw-code,171331,103867,Rust,https://github.com/ultraworkers/claw-code,ultraworkers,0,2026-04-06T02:00:34Z,The repo is finally unlocked. enjoy the party! The fastest repo in history to surpass 100K stars ⭐. Join Discord: https://discord.gg/5TUQKqFWd Built in Rust using oh-my-codex.
5,top-100-forks,first-contributions,53321,100729,,https://github.com/firstcontributions/first-contributions,firstcontributions,39,2026-04-06T03:50:37Z,🚀✨ Help beginners to contribute to open source projects
6,top-100-forks,css-exercises,2616,89833,HTML,https://github.com/TheOdinProject/css-exercises,TheOdinProject,0,2026-03-23T00:26:32Z,
7,top-100-forks,SmartThingsPublic,2638,87631,Groovy,https://github.com/SmartThingsCommunity/SmartThingsPublic,SmartThingsCommunity,72,2023-07-18T18:42:27Z,SmartThings open-source DeviceType Handlers and SmartApps code
8,top-100-forks,Complete-Python-3-Bootcamp,29484,87476,Jupyter Notebook,https://github.com/Pierian-Data/Complete-Python-3-Bootcamp,Pierian-Data,151,2025-06-24T04:54:16Z,Course Files for Complete Python 3 Bootcamp Course on Udemy
9,top-100-forks,gitignore,173318,82695,,https://github.com/github/gitignore,github,0,2026-04-04T00:05:52Z,A collection of useful .gitignore templates
10,top-100-forks,coding-interview-university,340309,81882,,https://github.com/jwasham/coding-interview-university,jwasham,73,2025-08-28T14:42:47Z,A complete computer science study plan to become a software engineer.
11,top-100-forks,bootstrap,174114,79007,MDX,https://github.com/twbs/bootstrap,twbs,299,2026-04-05T23:33:20Z,"The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web."
12,top-100-forks,tensorflow,194488,75255,C++,https://github.com/tensorflow/tensorflow,tensorflow,952,2026-04-06T01:04:51Z,An Open Source Machine Learning Framework for Everyone
13,top-100-forks,cgm-remote-monitor,2728,73070,JavaScript,https://github.com/nightscout/cgm-remote-monitor,nightscout,174,2026-03-25T22:32:31Z,nightscout web monitor
14,top-100-forks,openclaw,349155,69935,TypeScript,https://github.com/openclaw/openclaw,openclaw,10624,2026-04-06T03:59:45Z,Your own personal AI assistant. Any OS. Any Platform. The lobster way. 🦞 
15,top-100-forks,docs,19249,66633,TypeScript,https://github.com/github/docs,github,107,2026-04-03T20:37:22Z,The open-source repo for docs.github.com
16,top-100-forks,free-programming-books,385054,66086,Python,https://github.com/EbookFoundation/free-programming-books,EbookFoundation,36,2026-03-31T21:15:26Z,:books: Freely available programming books
17,top-100-forks,linux,227128,61474,C,https://github.com/torvalds/linux,torvalds,0,2026-04-05T22:33:32Z,Linux kernel source tree
18,top-100-forks,dio-lab-open-source,8541,60326,Jupyter Notebook,https://github.com/digitalinnovationone/dio-lab-open-source,digitalinnovationone,6724,2026-04-05T20:07:19Z,"Repositório do lab ""Contribuindo em um Projeto Open Source no GitHub"" da Digital Innovation One."
19,top-100-forks,NextChat,87616,59903,TypeScript,https://github.com/ChatGPTNextWeb/NextChat,ChatGPTNextWeb,683,2025-12-02T17:05:02Z,✨ Light and Fast AI Assistant. Support: Web | iOS | MacOS | Android |  Linux | Windows
20,top-100-forks,generative-ai-for-beginners,108962,58447,Jupyter Notebook,https://github.com/microsoft/generative-ai-for-beginners,microsoft,10,2026-03-29T18:29:14Z,"21 Lessons, Get Started Building with Generative AI "
21,top-100-forks,opencv,86945,56544,C++,https://github.com/opencv/opencv,opencv,2575,2026-04-03T13:05:02Z,Open Source Computer Vision Library
22,top-100-forks,n8n,182615,56506,TypeScript,https://github.com/n8n-io/n8n,n8n-io,388,2026-04-06T03:49:26Z,"Fair-code workflow automation platform with native AI capabilities. Combine visual building with custom code, self-host or cloud, 400+ integrations."
23,top-100-forks,ExData_Plotting1,299,56476,,https://github.com/rdpeng/ExData_Plotting1,rdpeng,76,2024-07-04T20:52:28Z,Plotting Assignment 1 for Exploratory Data Analysis
24,top-100-forks,Python-100-Days,180813,55582,Jupyter Notebook,https://github.com/jackfrued/Python-100-Days,jackfrued,527,2026-02-25T03:39:28Z,Python - 100天从新手到大师
25,top-100-forks,system-design-primer,341532,55217,Python,https://github.com/donnemartin/system-design-primer,donnemartin,246,2026-03-20T01:52:19Z,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.
26,top-100-forks,ant-design,97765,54574,TypeScript,https://github.com/ant-design/ant-design,ant-design,1266,2026-04-05T21:25:23Z,An enterprise-class UI design language and React UI library
27,top-100-forks,tutorials,37355,53674,Java,https://github.com/eugenp/tutorials,eugenp,17,2026-04-05T15:01:25Z,Getting Started with Spring Boot 3: 
28,top-100-forks,CS-Notes,184080,51083,,https://github.com/CyC2018/CS-Notes,CyC2018,129,2024-08-21T09:40:10Z,:books: 技术面试必备基础知识、Leetcode、计算机操作系统、计算机网络、系统设计
29,top-100-forks,react,244426,50979,JavaScript,https://github.com/facebook/react,facebook,825,2026-04-03T04:20:02Z,The library for web and native user interfaces.
30,top-100-forks,Python,219306,50307,Python,https://github.com/TheAlgorithms/Python,TheAlgorithms,175,2026-04-02T06:46:58Z,All Algorithms implemented in Python
31,top-100-forks,it-cert-automation-practice,999,46341,Python,https://github.com/google/it-cert-automation-practice,google,123,2024-08-21T14:58:21Z,Google IT Automation with Python Professional Certificate - Practice files
32,top-100-forks,AutoGPT,183163,46209,Python,https://github.com/Significant-Gravitas/AutoGPT,Significant-Gravitas,238,2026-04-06T00:28:50Z,"AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters."
33,top-100-forks,JavaGuide,154668,46137,Java,https://github.com/Snailclimb/JavaGuide,Snailclimb,68,2026-04-02T01:05:23Z,Java 面试 & 后端通用面试指南，覆盖计算机基础、数据库、分布式、高并发、系统设计与 AI 应用开发
34,top-100-forks,javascript-exercises,1600,45956,JavaScript,https://github.com/TheOdinProject/javascript-exercises,TheOdinProject,0,2026-03-28T00:53:10Z,
35,top-100-forks,build-your-own-x,486455,45768,Markdown,https://github.com/codecrafters-io/build-your-own-x,codecrafters-io,245,2026-02-21T09:34:54Z,Master programming by recreating your favorite technologies from scratch.
36,top-100-forks,public-apis,419451,45620,Python,https://github.com/public-apis/public-apis,public-apis,3,2026-03-18T16:28:22Z,A collective list of free APIs
37,top-100-forks,kickstart.nvim,30094,45321,Lua,https://github.com/nvim-lua/kickstart.nvim,nvim-lua,15,2026-03-31T20:49:28Z,A launch point for your personal nvim configuration
38,top-100-forks,models,77679,45174,Python,https://github.com/tensorflow/models,tensorflow,1083,2026-04-02T09:54:37Z,Models and examples built with TensorFlow
39,top-100-forks,freeCodeCamp,441599,44111,TypeScript,https://github.com/freeCodeCamp/freeCodeCamp,freeCodeCamp,123,2026-04-06T00:18:00Z,"freeCodeCamp.org's open-source codebase and curriculum. Learn math, programming, and computer science for free."
40,top-100-forks,developer-roadmap,352300,43869,TypeScript,https://github.com/kamranahmedse/developer-roadmap,kamranahmedse,1,2026-04-03T15:34:48Z,"Interactive roadmaps, guides and other educational content to help developers grow in their careers."
41,top-100-forks,qmk_firmware,20263,43741,C,https://github.com/qmk/qmk_firmware,qmk,323,2026-04-06T00:49:46Z,Open-source keyboard firmware for Atmel AVR and Arm USB families
42,top-100-forks,DO180-apps,295,42734,JavaScript,https://github.com/RedHatTraining/DO180-apps,RedHatTraining,1,2024-06-12T07:37:41Z,DO180 Repository for Sample Applications
43,top-100-forks,kubernetes,121504,42794,Go,https://github.com/kubernetes/kubernetes,kubernetes,1817,2026-04-02T17:39:09Z,Production-Grade Container Scheduling and Management
44,top-100-forks,edgetunnel,8331,42542,JavaScript,https://github.com/zizifn/edgetunnel,zizifn,96,2024-11-27T09:26:03Z,Running V2ray inside edge/serverless runtime
45,top-100-forks,patchwork,1154,42158,Rich Text Format,https://github.com/jlord/patchwork,jlord,28,2025-12-27T18:07:17Z,All the Git-it Workshop completers! 
